"date","ticker","open","high","close","volume","adj"
2017-07-05,"NMI",11.78,11.82,11.77,10900,11.77
2017-07-06,"NMI",11.78,11.78,11.74,10800,11.74
2017-07-07,"NMI",11.7,11.77,11.76,6600,11.76
2017-07-10,"NMI",11.77,11.81,11.81,8800,11.81
2017-07-11,"NMI",11.8,11.83,11.83,2900,11.83
2017-07-05,"CPLA",86.05,86.15,84.900002,33100,84.900002
2017-07-06,"CPLA",84.8,84.95,83.699997,46400,83.699997
2017-07-07,"CPLA",84.2,85.3,85.050003,35900,85.050003
2017-07-10,"CPLA",85,85.3,83.5,33600,83.5
2017-07-11,"CPLA",83.7,85.3,85.099998,60100,85.099998
2017-07-05,"MRO",12.03,12.05,11.74,18979800,11.74
2017-07-06,"MRO",11.89,11.96,11.59,17909400,11.59
2017-07-07,"MRO",11.54,11.55,11.47,15445900,11.47
2017-07-10,"MRO",11.41,11.59,11.52,10970400,11.52
2017-07-11,"MRO",11.53,11.73,11.59,10193600,11.59
2017-07-05,"BXC",10.92,10.94,10.69,10200,10.69
2017-07-06,"BXC",10.52,10.63,10.44,13500,10.44
2017-07-07,"BXC",10.65,10.73,10.62,10100,10.62
2017-07-10,"BXC",10.69,10.99,10.79,17000,10.79
2017-07-11,"BXC",10.78,10.99,10.87,55700,10.87
2017-07-05,"ADTN",20.75,20.85,20.65,331900,20.65
2017-07-06,"ADTN",20.5,20.55,20.049999,226000,20.049999
2017-07-07,"ADTN",20.05,20.5,20.5,152600,20.5
2017-07-10,"ADTN",20.4,20.7,20.549999,249700,20.549999
2017-07-11,"ADTN",20.5,20.53,20.4,136300,20.4
2017-07-05,"MSBF",17.34,17.34,17.34,300,17.34
2017-07-06,"MSBF",17.45,17.5,17.5,1500,17.5
2017-07-07,"MSBF",17.15,17.5,17.5,8200,17.5
2017-07-10,"MSBF",17.4,17.55,17.549999,3000,17.549999
2017-07-11,"MSBF",17.65,17.65,17.200001,900,17.200001
2017-07-05,"QQXT",45.98,46.04,46.029999,7500,46.029999
2017-07-06,"QQXT",45.49,45.72,45.529999,4200,45.529999
2017-07-07,"QQXT",45.6,45.88,45.810001,3800,45.810001
2017-07-10,"QQXT",45.77,45.95,45.880001,3000,45.880001
2017-07-11,"QQXT",45.98,45.98,45.830002,11400,45.830002
2017-07-05,"MYI",14.3,14.35,14.29,119300,14.29
2017-07-06,"MYI",14.25,14.3,14.21,94500,14.21
2017-07-07,"MYI",14.19,14.28,14.26,59100,14.26
2017-07-10,"MYI",14.26,14.39,14.39,53100,14.39
2017-07-11,"MYI",14.38,14.49,14.48,63000,14.48
2017-07-05,"ETV",15.27,15.37,15.33,146900,15.33
2017-07-06,"ETV",15.31,15.32,15.25,151100,15.25
2017-07-07,"ETV",15.26,15.3,15.26,128300,15.26
2017-07-10,"ETV",15.27,15.36,15.33,90500,15.33
2017-07-11,"ETV",15.34,15.44,15.4,240800,15.4
2017-07-05,"TCPC",16.94,16.94,16.82,164100,16.82
2017-07-06,"TCPC",16.8,16.82,16.74,169100,16.74
2017-07-07,"TCPC",16.77,16.8,16.77,161900,16.77
2017-07-10,"TCPC",16.7,16.79,16.719999,136400,16.719999
2017-07-11,"TCPC",16.75,16.8,16.75,214200,16.75
2017-07-05,"SPTN",26.15,26.33,26.09,231000,26.09
2017-07-06,"SPTN",25.95,26.31,25.99,265200,25.99
2017-07-07,"SPTN",25.98,26.33,26.110001,291100,26.110001
2017-07-10,"SPTN",26.13,26.5,25.950001,235200,25.950001
2017-07-11,"SPTN",26,26.29,26.02,225100,26.02
2017-07-05,"SAN",6.76,6.79,6.79,10649800,6.79
2017-07-06,"SAN",6.74,6.88,6.83,5055200,6.83
2017-07-07,"SAN",6.76,6.8,6.77,2790600,6.77
2017-07-10,"SAN",6.71,6.79,6.75,4794000,6.75
2017-07-11,"SAN",6.72,6.75,6.75,4997800,6.75
2017-07-05,"ATH",50.2,50.2,49.66,960800,49.66
2017-07-06,"ATH",49.51,49.55,49.23,1238700,49.23
2017-07-07,"ATH",49.42,49.54,49.27,897100,49.27
2017-07-10,"ATH",49.09,50.04,49.639999,1418500,49.639999
2017-07-11,"ATH",49.63,49.89,49.02,1398900,49.02
2017-07-05,"CEVA",45,45.25,45.150002,100300,45.150002
2017-07-06,"CEVA",44.4,45.3,44.700001,113300,44.700001
2017-07-07,"CEVA",44.7,45.7,45.599998,82300,45.599998
2017-07-10,"CEVA",45.65,45.85,45.599998,91300,45.599998
2017-07-11,"CEVA",45.6,46.45,45.5,119500,45.5
2017-07-05,"CNSL",21.9,22.1,22.040001,3276500,22.040001
2017-07-06,"CNSL",21.79,22.17,21.32,1282000,21.32
2017-07-07,"CNSL",21.35,21.4,20.709999,802400,20.709999
2017-07-10,"CNSL",20.58,20.71,20.15,815800,20.15
2017-07-11,"CNSL",20.25,20.25,19.33,1518000,19.33
2017-07-05,"VRSN",94.05,95.76,94.440002,1519900,94.440002
2017-07-06,"VRSN",94.27,94.33,93.25,669100,93.25
2017-07-07,"VRSN",93.37,95.39,94.419998,1693500,94.419998
2017-07-10,"VRSN",94.48,96.16,95.290001,1376100,95.290001
2017-07-11,"VRSN",95.24,95.86,95.610001,537900,95.610001
2017-07-05,"CGNT",1.7,1.7,1.63,5500,1.63
2017-07-06,"CGNT",1.62,1.68,1.65,20600,1.65
2017-07-07,"CGNT",1.63,1.7,1.7,13600,1.7
2017-07-10,"CGNT",1.69,1.69,1.63,13200,1.63
2017-07-11,"CGNT",1.64,1.65,1.62,17800,1.62
2017-07-05,"ORPN",0.542,0.67,0.62,240800,0.62
2017-07-06,"ORPN",0.69,0.69,0.613,82600,0.613
2017-07-07,"ORPN",0.56,0.6,0.573,99700,0.573
2017-07-10,"ORPN",0.56,0.61,0.535,46600,0.535
2017-07-11,"ORPN",0.57,0.63,0.597,142400,0.597
2017-07-05,"AVGO",231,232.33,231.610001,2969900,231.610001
2017-07-06,"AVGO",227.56,235.73,235.039993,2633400,235.039993
2017-07-07,"AVGO",235.3,240.19,239.619995,2473100,239.619995
2017-07-10,"AVGO",240.51,241.94,241.770004,2249900,241.770004
2017-07-11,"AVGO",242,242.6,240.889999,2044300,240.889999
2017-07-05,"FWP",21.05,21.5,20.9,20000,20.9
2017-07-06,"FWP",20.67,21.3,20.43,2500,20.43
2017-07-07,"FWP",20.76,21.3,20.594999,35100,20.594999
2017-07-10,"FWP",20.8,21.09,20.860001,21100,20.860001
2017-07-11,"FWP",20.71,21.18,20.75,6500,20.75
