"date","symbol","open","high","close","volume","adj"
2017-07-06,"ORIG",0.15,0.16,0.15,170000,0.15
2017-07-07,"ORIG",0.15,0.16,0.14,703100,0.14
2017-07-10,"ORIG",0.14,0.14,0.12,1243000,0.12
2017-07-11,"ORIG",0.13,0.14,0.12,869500,0.12
2017-07-12,"ORIG",0.13,0.13,0.12,411600,0.12
2017-07-13,"ORIG",0.13,0.13,0.12,463500,0.12
2017-07-14,"ORIG",0.12,0.24,0.2,8242400,0.2
2017-07-03,"TRS",20.95,21.55,20.85,121800,20.85
2017-07-05,"TRS",20.85,20.85,20.549999,247500,20.549999
2017-07-06,"TRS",20.35,20.9,20.799999,234800,20.799999
2017-07-07,"TRS",20.85,21.2,21.15,130100,21.15
2017-07-10,"TRS",21.05,21.4,21.25,159400,21.25
2017-07-11,"TRS",21.25,21.8,21.700001,333100,21.700001
2017-07-12,"TRS",21.85,22.35,22.35,565900,22.35
2017-07-13,"TRS",22.35,22.35,21.9,173400,21.9
2017-07-14,"TRS",21.85,22.15,22.049999,103700,22.049999
2017-07-03,"COVS",2.4,2.45,2.45,33000,2.45
2017-07-05,"COVS",2.45,2.45,2.45,18300,2.45
2017-07-06,"COVS",2.45,2.45,2.425,21800,2.425
2017-07-07,"COVS",2.45,2.45,2.45,14700,2.45
2017-07-10,"COVS",2.4,2.45,2.45,121600,2.45
2017-07-11,"COVS",2.425,2.45,2.425,35500,2.425
2017-07-12,"COVS",2.4,2.45,2.425,101900,2.425
2017-07-13,"COVS",2.4,2.45,2.45,3900,2.45
2017-07-14,"COVS",2.45,2.45,2.45,8000,2.45
2017-07-03,"DISCK",25.38,26.03,25.51,860700,25.51
2017-07-05,"DISCK",25.57,25.72,25.450001,1006500,25.450001
2017-07-06,"DISCK",25.3,25.37,25.08,866500,25.08
2017-07-07,"DISCK",25.15,25.27,25.15,630500,25.15
2017-07-10,"DISCK",25.13,25.54,25.469999,929800,25.469999
2017-07-11,"DISCK",25.48,25.54,25.48,1670800,25.48
2017-07-12,"DISCK",25.72,25.72,25.49,927700,25.49
2017-07-13,"DISCK",25.55,25.61,25.49,812000,25.49
2017-07-14,"DISCK",25.63,25.67,25.549999,1540200,25.549999
2017-07-03,"AOS",56.64,57.1,56.549999,284300,56.549999
2017-07-05,"AOS",56.67,57.33,57.200001,744900,57.200001
2017-07-06,"AOS",56.97,57.29,56.580002,1091500,56.580002
2017-07-07,"AOS",56.65,57.54,57.25,408900,57.25
2017-07-10,"AOS",57.1,57.61,57.200001,465700,57.200001
2017-07-11,"AOS",57.26,57.35,57.139999,448200,57.139999
2017-07-12,"AOS",57.56,57.97,57.470001,500300,57.470001
2017-07-13,"AOS",57.63,57.71,57.48,418500,57.48
